FORDHAM RD,123279.0
FOREST AVE,25759.0
FOREST HILLS 71,160657.0
FRANKLIN AV,112031.0
FRANKLIN ST,33279.0
FREEMAN ST,27437.0
FRESH POND RD,35430.0
FT HAMILTON PKY,74716.0
FULTON ST,428558.0
GATES AV,39596.0
GRAHAM AV,60235.0
GRAND ARMY PLAZ,44574.0
GRAND ST,173358.0
GRAND-NEWTOWN,97523.0
GRANT AV,42459.0
GRD CNTRL-42 ST,650553.0
GREENPOINT AV,53624.0
GROVE STREET,103684.0
GUN HILL RD,45304.0
HALSEY ST,51040.0
HARLEM 148 ST,24394.0
HARRISON,5006.0
HEWES ST,16825.0
HOUSTON ST,80956.0
HOWARD BCH JFK,23629.0
HOYT ST,43296.0
HOYT-SCHER,52841.0
HUNTERS PT AV,998.0
HUNTS POINT AV,63877.0
INTERVALE AV,19354.0
INWOOD-207 ST,48233.0
JACKSON AV,30179.0
JAMAICA 179 ST,126088.0
JAMAICA CENTER,230565.0
JAMAICA VAN WK,28923.0
JAY ST-METROTEC,244670.0
JEFFERSON ST,44403.0
JFK JAMAICA CT1,44158.0
JKSN HT-ROOSVLT,288961.0
JOURNAL SQUARE,111318.0
JUNCTION BLVD,131095.0
JUNIUS ST,16151.0
KEW GARDENS,151870.0
KINGS HWY,152339.0
KINGSBRIDGE RD,105475.0
KINGSTON AV,29721.0
KINGSTON-THROOP,36676.0
KNICKERBOCKER,25126.0
KOSCIUSZKO ST,30205.0
LACKAWANNA,41896.0
LAFAYETTE AV,27584.0
LEXINGTON AV/53,223397.0
LEXINGTON AV/63,73593.0
LIBERTY AV,16984.0
LONGWOOD AV,6019.0
LORIMER ST,61937.0
MARBLE HILL-225,32145.0
MARCY AV,80143.0
METROPOLITAN AV,74020.0
METS-WILLETS PT,16568.0
MIDDLETOWN RD,11522.0
MONTROSE AV,40358.0
MORGAN AV,43033.0
MORISN AV/SNDVW,38441.0
MOSHOLU PKWY,50218.0
MT EDEN AV,33682.0
MYRTLE AV,68600.0
MYRTLE-WILLOUGH,37494.0
MYRTLE-WYCKOFF,127158.0
NASSAU ST,52214.0
NECK RD,25815.0
NEPTUNE AV,10492.0
NEREID AV,22196.0
NEVINS ST,57023.0
NEW LOTS AV,40706.0
NEW UTRECHT AV,34748.0
NEWKIRK PLAZA,64753.0
NORTHERN BLVD,43208.0
NORWOOD 205 ST,49547.0
NORWOOD AV,21360.0
NOSTRAND AV,134713.0
OCEAN PKWY,18665.0
OZONE PK LEFFRT,46715.0
PARK PLACE,31934.0
PARKCHESTER,95353.0
PARKSIDE AV,34341.0
PARSONS BLVD,38436.0
PATH WTC,200035.0
