B'WAY-LAFAYETTE,BDFQ6,124681.0
BAY 50 ST,D,19322.0
BAY PKWY,D,48068.0
BAY PKWY,F,9709.0
BAY PKWY,N,65965.0
BAY RIDGE AV,R,85054.0
BAYCHESTER AV,5,7699.0
BEACH 105 ST,AS,1461.0
BEACH 25 ST,A,11313.0
BEACH 36 ST,A,5910.0
BEACH 44 ST,A,3846.0
BEACH 60 ST,A,14268.0
BEACH 67 ST,A,13576.0
BEACH 90 ST,AS,4713.0
BEACH 98 ST,AS,3079.0
BEDFORD AV,L,144591.0
BEDFORD PK BLVD,4,33204.0
BEDFORD PK BLVD,BD,44664.0
BEDFORD-NOSTRAN,G,51031.0
BERGEN ST,23,23034.0
BERGEN ST,FG,68556.0
BEVERLEY ROAD,BQ,18089.0
BLEECKER ST,6DF,75406.0
BOROUGH HALL,2345R,200893.0
BOROUGH HALL,R2345,12593.0
BOTANIC GARDEN,S2345,10836.0
BOWERY,JZ,17000.0
BOWLING GREEN,45,177582.0
BRIARWOOD,EF,29290.0
BRIGHTON BEACH,BQ,76147.0
BROAD CHANNEL,AS,1789.0
BROAD ST,JZ,39352.0
BROADWAY,G,26880.0
BROADWAY,NQ,78904.0
BROADWAY JCT,ACJLZ,65710.0
BRONX PARK EAST,25,16436.0
BROOK AV,6,12844.0
BROOKLYN BRIDGE,456JZ,112780.0
BUHRE AV,6,19980.0
BURKE AV,25,20755.0
BURNSIDE AV,4,68969.0
CANAL ST,1,34492.0
CANAL ST,ACE,96693.0
CANAL ST,JNQRZ6,253486.0
CARROLL ST,FG,67557.0
CASTLE HILL AV,6,40087.0
CATHEDRAL PKWY,1,76868.0
CATHEDRAL PKWY,BC,43224.0
CENTRAL AV,M,22653.0
CENTRAL PK N110,23,57494.0
CHAMBERS ST,123,128062.0
CHAMBERS ST,ACE23,152084.0
CHAMBERS ST,JZ456,59333.0
CHAUNCEY ST,JZ,20891.0
CHRISTOPHER ST,1,75304.0
CHURCH AV,25,16733.0
CHURCH AV,BQ,103167.0
CHURCH AV,FG,63208.0
CITY / BUS,1,89736.0
CITY HALL,R,35000.0
CLARK ST,23,28092.0
CLASSON AV,G,29997.0
CLEVELAND ST,J,20854.0
