,0,1
0,PRINCE ST,81204.0
1,BEVERLY RD,26152.0
2,JKSN HT-ROOSVLT,280126.0
3,WESTCHESTER SQ,36288.0
4,JFK JAMAICA CT1,12363.0
5,FLUSHING-MAIN,339029.0
6,HIGH ST,49354.0
7,161/YANKEE STAD,127729.0
8,BROADWAY,100266.0
9,VAN SICLEN AV,25863.0
10,HARLEM 148 ST,20297.0
11,LAFAYETTE AV,26971.0
12,111 ST,86501.0
13,ROCKAWAY AV,52035.0
14,NEVINS ST,56302.0
15,BROADWAY JCT,53876.0
16,176 ST,-1466674.0
17,OCEAN PKWY,19186.0
18,UTICA AV,94761.0
19,MORISN AV/SNDVW,38867.0
20,ST. GEORGE,71826.0
21,AVENUE N,21007.0
22,PAVONIA/NEWPORT,107713.0
23,86 ST,580603.0
24,CHURCH AV,221071.0
25,JAMAICA 179 ST,124933.0
26,AVENUE I,14005.0
27,BURNSIDE AV,65863.0
28,18 AV,80239.0
29,BEDFORD-NOSTRAN,50064.0
30,W 8 ST-AQUARIUM,13155.0
31,FRESH POND RD,34798.0
32,WHITLOCK AV,10099.0
33,SUTPHIN-ARCHER,135439.0
34,V.CORTLANDT PK,39964.0
35,FT HAMILTON PKY,73477.0
36,QUEENSBORO PLZ,67533.0
37,CORTELYOU RD,38132.0
38,5 AVE,62419.0
39,79 ST,135262.0
40,KINGSBRIDGE RD,105393.0
41,NORWOOD 205 ST,51708.0
42,ALLERTON AV,32961.0
43,231 ST,53286.0
44,BUHRE AV,19776.0
45,116 ST,216299.0
46,BOWLING GREEN,161390.0
47,BEDFORD AV,136751.0
48,JAY ST-METROTEC,235682.0
49,33 ST,172102.0
50,BEACH 36 ST,5948.0
51,CLEVELAND ST,20710.0
52,145 ST,220398.0
53,EASTCHSTER/DYRE,26617.0
54,HOYT ST,42387.0
55,TIMES SQ-42 ST,450989.0
56,JUNCTION BLVD,131061.0
57,34 ST-PENN STA,67907011.0
58,NORTHERN BLVD,43667.0
59,TWENTY THIRD ST,47239.0
60,PENNSYLVANIA AV,38158.0
61,85 ST-FOREST PK,23052.0
62,3 AV 138 ST,45810.0
63,WORLD TRADE CTR,87192.0
64,DITMAS AV,17271.0
65,COURT SQ-23 ST,44253.0
66,BROOKLYN BRIDGE,88109.0
67,63 DR-REGO PARK,96056.0
68,4AV-9 ST,52246.0
69,BOTANIC GARDEN,10336.0
70,LIVONIA AV,19664.0
71,DEKALB AV,176020.0
72,167 ST,117497.0
73,AVENUE U,71160.0
74,EAST BROADWAY,82783.0
75,SIMPSON ST,58566.0
76,JOURNAL SQUARE,112679.0
77,ASTORIA DITMARS,98183.0
78,NEWKIRK AV,45766.0
79,HUNTS POINT AV,59568.0
80,KINGSTON-THROOP,36514.0
81,GUN HILL RD,77149.0
82,NEW UTRECHT AV,34628.0
83,EASTN PKWY-MUSM,29663.0
84,PARK PLACE,31420.0
85,BEACH 105 ST,1440.0
86,INWOOD-207 ST,58795.0
87,EXCHANGE PLACE,85641.0
88,JAMAICA CENTER,217554.0
89,135 ST,124032.0
90,47-50 STS ROCK,299526.0
91,NECK RD,26159.0
92,69 ST,30210.0
93,6 AV,2305.0
94,42 ST-PORT AUTH,450075.0
95,CASTLE HILL AV,34953.0
96,138/GRAND CONC,19230.0
97,51 ST,113769.0
98,PELHAM PKWY,73958.0
99,BRIARWOOD,27393.0
100,GRAND ST,180665.0
101,BAY 50 ST,18985.0
102,NORWOOD AV,21556.0
103,190 ST,29336.0
104,BEDFORD PK BLVD,77634.0
105,RECTOR ST,98948.0
106,ELDER AV,39820.0
