,0,1
0,80 ST,23763.0
1,59 ST,422989.0
2,79 ST,138968.0
3,MT EDEN AV,33906.0
4,GREENPOINT AV,51676.0
5,BAYCHESTER AV,21425.0
6,4AV-9 ST,54411.0
7,BEACH 60 ST,14648.0
8,FAR ROCKAWAY,28672.0
9,GRAND-NEWTOWN,86828.0
10,SHEPHERD AV,20241.0
11,170 ST,100115.0
12,NEVINS ST,56853.0
13,23 ST,609968.0
14,KOSCIUSZKO ST,30989.0
15,34 ST-HUDSON YD,38904.0
16,TIMES SQ-42 ST,440230.0
17,WHITLOCK AV,10828.0
18,BROAD ST,40620.0
19,175 ST,79267.0
20,57 ST-7 AV,78796.0
21,46 ST BLISS ST,66477.0
22,BUHRE AV,20649.0
23,HARRISON,42009.0
24,42 ST-BRYANT PK,198631.0
25,KNICKERBOCKER,25332.0
26,191 ST,49679.0
27,28 ST,274816.0
28,BUSHWICK AV,11658.0
29,85 ST-FOREST PK,23668.0
30,FLATBUSH AV-B.C,104992.0
31,CHURCH AV,231823.0
32,HIGH ST,40995.0
33,AQUEDUCT N.COND,6340.0
34,9 AV,35649.0
35,NORWOOD 205 ST,53980.0
36,LAFAYETTE AV,28318.0
37,BLEECKER ST,74524.0
38,PAVONIA/NEWPORT,107563.0
39,52 ST,32500.0
40,UTICA AV,96838.0
41,PRINCE ST,84433.0
42,BURNSIDE AV,66937.0
43,71 ST,40750.0
44,42 ST-PORT AUTH,427917.0
45,25 AV,31413.0
46,LACKAWANNA,37890.0
47,CORTELYOU RD,38146.0
48,MORGAN AV,45146.0
49,CHRISTOPHER ST,75963.0
50,ASTORIA DITMARS,102772.0
51,BAY 50 ST,18160.0
52,ST LAWRENCE AV,25079.0
53,METS-WILLETS PT,22457.0
54,BROADWAY JCT,70301.0
55,PARKSIDE AV,33926.0
56,MYRTLE AV,69637.0
57,145 ST,226807.0
58,88 ST,17457.0
59,MIDDLETOWN RD,12194.0
60,33 ST,172665.0
61,3 AV,33805.0
62,WALL ST,260241.0
63,3 AV 138 ST,48417.0
64,30 AV,89169.0
65,LIBERTY AV,18648.0
66,CYPRESS AV,23287.0
67,UNION ST,35774.0
68,PARKCHESTER,100055.0
69,AVENUE I,11498.0
70,NORWOOD AV,21826.0
71,55 ST,12915.0
72,STERLING ST,33669.0
73,SUTTER AV-RUTLD,57589.0
74,CLEVELAND ST,21658.0
75,CITY HALL,37977.0
76,PROSPECT AV,79397.0
77,PELHAM BAY PARK,43013.0
78,33 ST-RAWSON ST,57115.0
79,CARROLL ST,68659.0
80,18 AV,74935.0
81,MARCY AV,78422.0
82,111 ST,97151.0
83,RIT-ROOSEVELT,29160.0
84,AVENUE U,70068.0
85,68ST-HUNTER CO,193396.0
86,FLUSHING-MAIN,343220.0
87,HEWES ST,16440.0
88,190 ST,30566.0
89,QUEENS PLAZA,68137.0
90,KINGSTON-THROOP,35883.0
91,GRAHAM AV,60667.0
92,JAMAICA CENTER,222055.0
93,225 ST,26116.0
94,JKSN HT-ROOSVLT,316909.0
95,E 143/ST MARY'S,6155.0
96,CASTLE HILL AV,40439.0
97,BEACH 36 ST,5911.0
98,51 ST,113432.0
99,74 ST-BROADWAY,17578.0
100,LORIMER ST,66081.0
101,233 ST,32364.0
102,SUTTER AV,23424.0
103,RECTOR ST,89946.0
104,5 AV/53 ST,136937.0
105,PELHAM PKWY,-949979.0
106,CENTRAL AV,22694.0
107,QUEENSBORO PLZ,84346.0
108,238 ST,25108.0
109,168 ST,144148.0
110,161/YANKEE STAD,147155.0
111,GRD CNTRL-42 ST,630533.0
112,207 ST,39092.0
113,NASSAU ST,50540.0
114,14 ST,303447.0
115,BEDFORD AV,146476.0
116,GATES AV,40536.0
117,21 ST-QNSBRIDGE,57553.0
118,WAKEFIELD/241,29907.0
119,FRANKLIN AV,73654.0
120,JAMAICA VAN WK,29163.0
121,TWENTY THIRD ST,49794.0
122,MONTROSE AV,41587.0
123,CORTLANDT ST,62621.0
124,CLINTON-WASH AV,59521.0
125,BRIARWOOD,30080.0
126,167 ST,120571.0
127,WESTCHESTER SQ,38694.0
128,WILSON AV,0.0
129,40 ST LOWERY ST,52441.0
130,BRIGHTON BEACH,74356.0
131,53 ST,43971.0
132,HUNTERS PT AV,34872.0
133,BAY PKWY,130976.0
134,ATLANTIC AV,7633.0
135,DITMAS AV,14708.0
136,OCEAN PKWY,19680.0
137,75 AV,21066.0
138,NEW UTRECHT AV,32885.0
139,WHITEHALL S-FRY,106291.0
140,TREMONT AV,61292.0
141,ROCKAWAY PARK B,4057.0
142,GUN HILL RD,74643.0
143,VAN SICLEN AV,54598.0
144,34 ST-PENN STA,917740.0
145,MYRTLE-WILLOUGH,36580.0
146,CLARK ST,36902.0
147,ALLERTON AV,32161.0
148,36 ST,106110.0
149,HOUSTON ST,78260.0
150,ROOSEVELT ISLND,40942.0
151,JAY ST-METROTEC,242802.0
152,NORTHERN BLVD,45997.0
153,SMITH-9 ST,28498.0
154,9TH STREET,27945.0
155,BROOK AV,37582.0
156,116 ST,218285.0
157,103 ST,173209.0
158,DEKALB AV,180236.0
159,CATHEDRAL PKWY,125159.0
160,25 ST,21952.0
161,AVENUE H,18900.0
162,RIT-MANHATTAN,27883.0
163,138/GRAND CONC,19405.0
164,BEDFORD PK BLVD,81771.0
165,GROVE STREET,106895.0
166,BEACH 105 ST,1597.0
167,VERNON-JACKSON,76259.0
168,NECK RD,26421.0
169,BOWERY,16793.0
170,NEWARK HW BMEBE,26194.0
171,MORISN AV/SNDVW,39957.0
172,34 ST-HERALD SQ,535226.0
173,ASTOR PL,90347.0
174,72 ST,296604.0
175,EAST BROADWAY,83343.0
176,149/GRAND CONC,83083.0
177,YORK ST,63541.0
178,96 ST,455457.0
179,E 180 ST,48607.0
180,57 ST,83722.0
181,NEWARK HM HE,7565.0
182,CHAMBERS ST,395573.0
183,HARLEM 148 ST,24354.0
184,183 ST,38168.0
185,46 ST,55742.0
186,BEACH 98 ST,3088.0
187,BOTANIC GARDEN,11626.0
188,182-183 STS,31168.0
189,EXCHANGE PLACE,88355.0
190,AVENUE M,36583.0
191,JACKSON AV,31290.0
192,FRANKLIN ST,32929.0
193,BROAD CHANNEL,1804.0
194,45 ST,23333.0
195,116 ST-COLUMBIA,96564.0
196,WOODHAVEN BLVD,160413.0
197,DELANCEY/ESSEX,147035.0
198,6 AV,2984.0
199,BEACH 25 ST,11556.0
200,JUNIUS ST,18336.0
201,77 ST,236410.0
202,157 ST,68002.0
203,AVENUE P,14948.0
204,METROPOLITAN AV,68749.0
205,FT HAMILTON PKY,74810.0
206,219 ST,19823.0
207,JUNCTION BLVD,133714.0
208,BROOKLYN BRIDGE,100963.0
209,HUNTS POINT AV,64329.0
210,121 ST,14452.0
211,49 ST,126206.0
212,LIVONIA AV,17646.0
213,RALPH AV,34538.0
214,AVENUE X,12929.0
215,TOMPKINSVILLE,4588.0
216,FLUSHING AV,71372.0
217,5 AVE,59108.0
218,EUCLID AV,48283.0
219,8 AV,230982.0
220,WEST FARMS SQ,45175.0
221,COURT SQ-23 ST,51383.0
222,47-50 STS ROCK,282747.0
223,DYCKMAN ST,87205.0
224,SHEEPSHEAD BAY,83957.0
225,SPRING ST,116289.0
226,FULTON ST,443180.0
227,BEVERLEY ROAD,17817.0
228,BERGEN ST,91827.0
229,SENECA AVE,16405.0
230,EASTN PKWY-MUSM,35665.0
231,NEREID AV,21098.0
232,90 ST-ELMHURST,97481.0
233,WOODLAWN,44640.0
234,BEACH 44 ST,3996.0
235,1 AV,125360.0
236,PROSPECT PARK,70458.0
237,MOSHOLU PKWY,55176.0
238,169 ST,54186.0
239,135 ST,125150.0
240,SIMPSON ST,55662.0
241,INTERVALE AV,18740.0
242,4 AV-9 ST,21470.0
243,INWOOD-207 ST,60367.0
244,BOWLING GREEN,161626.0
245,104 ST,20035.0
246,NEWKIRK AV,45582.0
247,66 ST-LINCOLN,132542.0
248,ASTORIA BLVD,72912.0
249,LEXINGTON AV/53,205512.0
250,2 AV,86729.0
251,BRONX PARK EAST,16961.0
252,AVENUE N,17415.0
253,67 AV,54850.0
254,FOREST HILLS 71,166281.0
255,CITY / BUS,84878.0
256,CANARSIE-ROCKAW,65598.0
257,FREEMAN ST,28403.0
258,B'WAY-LAFAYETTE,131696.0
259,NEW LOTS,26974.0
260,WORLD TRADE CTR,87399.0
261,ROCKAWAY BLVD,44315.0
262,THIRTY ST,47403.0
263,176 ST,37640.0
264,E 149 ST,29535.0
265,ELMHURST AV,83977.0
266,HOWARD BCH JFK,25991.0
267,EAST 105 ST,20095.0
268,137 ST CITY COL,90414.0
269,SUTPHIN-ARCHER,137501.0
270,HOYT-SCHER,53555.0
271,PARSONS BLVD,39795.0
272,OZONE PK LEFFRT,45602.0
273,8 ST-NYU,92210.0
274,MARBLE HILL-225,32122.0
275,V.CORTLANDT PK,45122.0
276,COURT SQ,77142.0
277,CRESCENT ST,30407.0
278,39 AV,19074.0
279,3 AV-149 ST,135707.0
280,231 ST,54986.0
281,SUTPHIN BLVD,28151.0
282,WINTHROP ST,42691.0
283,THIRTY THIRD ST,127083.0
284,63 DR-REGO PARK,96704.0
285,W 8 ST-AQUARIUM,13635.0
286,61 ST WOODSIDE,84071.0
287,ELDER AV,40427.0
288,ROCKAWAY AV,75685.0
289,BOROUGH HALL,210155.0
290,36 AV,42957.0
291,65 ST,25553.0
292,EASTCHSTER/DYRE,23591.0
293,KEW GARDENS,152814.0
294,HOYT ST,43426.0
295,AQUEDUCT RACETR,9964.0
296,BEVERLY RD,26000.0
297,STEINWAY ST,83502.0
298,21 ST,10435.0
299,18 ST,44886.0
300,14TH STREET,52200.0
301,PARK PLACE,33570.0
302,KINGSTON AV,28106.0
303,81 ST-MUSEUM,83336.0
304,181 ST,140337.0
305,125 ST,376353.0
306,BROADWAY,105152.0
307,JOURNAL SQUARE,115842.0
308,GRAND ARMY PLAZ,46799.0
309,NEWARK C,21967.0
310,FORDHAM RD,141046.0
311,5 AV/59 ST,111149.0
312,15 ST-PROSPECT,39097.0
313,NEWARK BM BW,72485.0
314,NOSTRAND AV,131538.0
315,MORRIS PARK,11560.0
316,CENTRAL PK N110,60586.0
317,BEACH 67 ST,14396.0
318,MYRTLE-WYCKOFF,128764.0
319,SOUTH FERRY,62678.0
320,VAN SICLEN AVE,19253.0
321,CLASSON AV,30203.0
322,215 ST,11874.0
323,174 ST,26480.0
324,GRANT AV,40812.0
325,CANAL ST,402333.0
326,50 ST,253804.0
327,7 AV,218184.0
328,174-175 STS,32385.0
329,ZEREGA AV,15434.0
330,163 ST-AMSTERDM,26718.0
331,FOREST AVE,26023.0
332,PRESIDENT ST,24031.0
333,KINGSBRIDGE RD,108974.0
334,HALSEY ST,89013.0
335,PATH WTC,205301.0
336,103 ST-CORONA,117432.0
337,FRESH POND RD,36564.0
338,82 ST-JACKSON H,82405.0
339,155 ST,40881.0
340,LEXINGTON AV/63,63051.0
341,75 ST-ELDERTS,23073.0
342,20 AV,40254.0
343,CYPRESS HILLS,9260.0
344,NEPTUNE AV,8892.0
345,ALABAMA AV,16094.0
346,NEW LOTS AV,40509.0
347,110 ST,84711.0
348,BURKE AV,20740.0
349,AVENUE J,35818.0
350,CONEY IS-STILLW,89507.0
351,CROWN HTS-UTICA,162491.0
352,59 ST COLUMBUS,393847.0
353,JAMAICA 179 ST,128823.0
354,ST. GEORGE,74361.0
355,BEDFORD-NOSTRAN,50315.0
356,BEACH 90 ST,5036.0
357,86 ST,613629.0
358,KINGS HWY,148209.0
359,GRAND ST,175924.0
360,ATL AV-BARCLAY,231062.0
361,NEWKIRK PLAZA,66709.0
362,JEFFERSON ST,44948.0
363,CHAUNCEY ST,23788.0
364,BAY RIDGE AV,87344.0
365,W 4 ST-WASH SQ,232818.0
366,JFK JAMAICA CT1,39229.0
367,LONGWOOD AV,21251.0
368,PATH WTC 2,3310.0
369,14 ST-UNION SQ,488876.0
370,69 ST,23056.0
