,0,1
0,"('COURT SQ-23 ST', 'EMG')",44253.0
1,"('79 ST', 'D')",42718.0
2,"('ZEREGA AV', '6')",11477.0
3,"('59 ST', '456NQR')",255735.0
4,"('BROADWAY', 'NQ')",73869.0
5,"('MORGAN AV', 'L')",43752.0
6,"('TREMONT AV', 'BD')",58909.0
7,"('ASTORIA BLVD', 'NQ')",69384.0
8,"('88 ST', 'A')",21842.0
9,"('82 ST-JACKSON H', '7')",90229.0
10,"('AVENUE N', 'F')",21007.0
11,"('BEACH 25 ST', 'A')",11589.0
12,"('ELDER AV', '6')",39820.0
13,"('67 AV', 'MR')",55648.0
14,"('W 8 ST-AQUARIUM', 'FQ')",13155.0
15,"('NECK RD', 'BQ')",26159.0
16,"('28 ST', '6')",124774.0
17,"('GRAND ARMY PLAZ', '23')",43139.0
18,"('TOMPKINSVILLE', '1')",4161.0
19,"('59 ST', 'NR')",75893.0
20,"('AVENUE U', 'BQ')",45289.0
21,"('WHITEHALL S-FRY', 'R1')",103287.0
22,"('GRAND-NEWTOWN', 'MR')",82933.0
23,"('BRIARWOOD', 'EF')",27393.0
24,"('50 ST', 'CE')",112637.0
25,"('HARRISON', '1')",39207.0
26,"('66 ST-LINCOLN', '1')",131475.0
27,"('71 ST', 'D')",39699.0
28,"('FRANKLIN AV', 'ACS')",37735.0
29,"('161/YANKEE STAD', 'BD4')",71598.0
30,"('103 ST', 'BC')",28328.0
31,"('BEACH 60 ST', 'A')",14708.0
32,"('BLEECKER ST', '6DF')",74156.0
33,"('AVENUE U', 'F')",16940.0
34,"('18 AV', 'N')",13554.0
35,"('116 ST-COLUMBIA', '1')",94587.0
36,"('HEWES ST', 'JM')",16091.0
37,"('DELANCEY/ESSEX', 'FJMZ')",144219.0
38,"('SUTTER AV', 'L')",27883.0
39,"('HALSEY ST', 'L')",47715.0
40,"('CANAL ST', '1')",32397.0
41,"('135 ST', 'BC')",33564.0
42,"('OZONE PK LEFFRT', 'A')",49816.0
43,"('CATHEDRAL PKWY', 'BC')",43975.0
44,"('125 ST', '23')",34723.0
45,"('STERLING ST', '25')",33465.0
46,"('59 ST COLUMBUS', '1ABCD')",85433.0
47,"('PELHAM PKWY', '5')",18538.0
48,"('3 AV-149 ST', '25')",109309.0
49,"('NORWOOD 205 ST', 'D')",51708.0
50,"('219 ST', '25')",20269.0
51,"('BAY PKWY', 'N')",66354.0
52,"('168 ST', 'AC1')",63246.0
53,"('DYCKMAN ST', 'A')",42682.0
54,"('36 ST', 'DNR')",80537.0
55,"('JAMAICA 179 ST', 'F')",124933.0
56,"('176 ST', '4')",-1466674.0
57,"('104 ST', 'JZ')",11224.0
58,"('MONTROSE AV', 'L')",41514.0
59,"('8 AV', 'ACEL')",134101.0
60,"('BEACH 36 ST', 'A')",5948.0
61,"('AVENUE J', 'BQ')",36107.0
62,"('PENNSYLVANIA AV', '3')",38158.0
63,"('5 AVE', '7BDFM')",62419.0
64,"('57 ST-7 AV', 'NQR')",77161.0
65,"('2 AV', 'F')",86233.0
66,"('JACKSON AV', '25')",34685.0
67,"('NEWKIRK PLAZA', 'BQ')",63568.0
68,"('JEFFERSON ST', 'L')",44747.0
69,"('ASTORIA DITMARS', 'NQ')",98183.0
70,"('CLASSON AV', 'G')",30173.0
71,"('KINGS HWY', 'N')",9347.0
72,"('WOODHAVEN BLVD', 'JZ')",27396.0
73,"('111 ST', 'A')",1996.0
74,"('79 ST', '1')",92544.0
75,"('ROCKAWAY AV', '3')",18196.0
76,"('55 ST', 'D')",13043.0
77,"('59 ST COLUMBUS', 'ABCD1')",289805.0
78,"('PROSPECT PARK', 'BQS')",57737.0
79,"('125 ST', 'ACBD')",167245.0
80,"('BAY PKWY', 'F')",9609.0
81,"('BROADWAY JCT', 'ACJLZ')",53876.0
82,"('18 AV', 'D')",38200.0
83,"('45 ST', 'R')",22843.0
84,"('NEW UTRECHT AV', 'ND')",34628.0
85,"('KINGSTON-THROOP', 'C')",36514.0
86,"('FOREST HILLS 71', 'EFMR')",162319.0
87,"('BOTANIC GARDEN', 'S2345')",10336.0
88,"('BEACH 90 ST', 'AS')",4791.0
89,"('VAN SICLEN AV', 'JZ')",18097.0
90,"('NEWKIRK AV', '25')",45766.0
91,"('14 ST', 'FLM123')",91811.0
92,"('PRINCE ST', 'NR')",81204.0
93,"('ASTOR PL', '6')",89588.0
94,"('BEACH 44 ST', 'A')",3957.0
95,"('PELHAM PKWY', '25')",55420.0
96,"('BOWLING GREEN', '45')",161390.0
97,"('ELMHURST AV', 'MR')",82485.0
98,"('WALL ST', '23')",142636.0
99,"('CORTLANDT ST', 'R')",61555.0
100,"('SPRING ST', 'CE')",67611.0
101,"('CHAMBERS ST', 'JZ456')",49872.0
102,"('BAY PKWY', 'D')",47990.0
103,"('155 ST', 'C')",16485.0
104,"('NEWARK C', '1')",23996.0
105,"('116 ST', 'BC')",42952.0
106,"('AVENUE U', 'N')",8931.0
107,"('HALSEY ST', 'J')",38406.0
108,"('BEDFORD AV', 'L')",136751.0
109,"('FORDHAM RD', 'BD')",68127.0
110,"('JAY ST-METROTEC', 'R')",18362.0
111,"('72 ST', 'BC')",54491.0
112,"('75 AV', 'EF')",21365.0
113,"('RALPH AV', 'C')",34611.0
114,"('MORISN AV/SNDVW', '6')",38867.0
115,"('CITY HALL', 'R')",35207.0
116,"('LACKAWANNA', '1')",44080.0
117,"('BRIGHTON BEACH', 'BQ')",77820.0
118,"('VAN SICLEN AV', '3')",7766.0
119,"('BAYCHESTER AV', '5')",22757.0
120,"('86 ST', 'N')",8270.0
121,"('BRONX PARK EAST', '25')",16619.0
122,"('WORLD TRADE CTR', 'ACE23')",87192.0
123,"('GATES AV', 'JZ')",39064.0
