,0,1
0,CONEY IS-STILLW,73291.0
1,FOREST AVE,25759.0
2,EXCHANGE PLACE,86830.0
3,YORK ST,57589.0
4,NEWKIRK PLAZA,64753.0
5,30 AV,87035.0
6,FORDHAM RD,135066.0
7,46 ST,54624.0
8,CHAMBERS ST,33912821.0
9,163 ST-AMSTERDM,26944.0
10,BEVERLEY ROAD,18089.0
11,BUSHWICK AV,9548.0
12,6 AV,4747.0
13,CLEVELAND ST,20854.0
14,QUEENS PLAZA,64247.0
15,NEWARK C,26214.0
16,CLARK ST,37708.0
17,STERLING ST,28773.0
18,71 ST,39461.0
19,FLUSHING-MAIN,337608.0
20,MARCY AV,80150.0
21,E 180 ST,48259.0
22,116 ST-COLUMBIA,97091.0
23,VAN SICLEN AV,30903.0
24,FT HAMILTON PKY,74718.0
25,3 AV,33724.0
26,170 ST,-150896119.0
27,JOURNAL SQUARE,111319.0
28,176 ST,36780.0
29,ASTORIA BLVD,70757.0
30,FULTON ST,451663.0
31,WILSON AV,22083.0
32,ELDER AV,39566.0
33,HOUSTON ST,80959.0
34,34 ST-HERALD SQ,591230.0
35,233 ST,32367.0
36,15 ST-PROSPECT,38177.0
37,KINGSTON-THROOP,36676.0
38,V.CORTLANDT PK,41540.0
39,NORWOOD AV,21360.0
40,72 ST,286713.0
41,5 AVE,-5921058.0
42,33 ST-RAWSON ST,72653.0
43,PARKCHESTER,95355.0
44,4 AV-9 ST,21009.0
45,5 AV/53 ST,143643.0
46,8 ST-NYU,95197.0
47,COURT SQ,82061.0
48,BROOKLYN BRIDGE,99894.0
49,NEWARK HW BMEBE,23225.0
50,52 ST,37685.0
51,CROWN HTS-UTICA,163612.0
52,VERNON-JACKSON,73788.0
53,135 ST,124811.0
54,103 ST-CORONA,118899.0
55,PARKSIDE AV,34341.0
56,WHITLOCK AV,10646.0
57,EAST 105 ST,19505.0
58,181 ST,137675.0
59,ROCKAWAY AV,58325.0
60,BURNSIDE AV,68969.0
61,AVENUE H,19181.0
62,MORGAN AV,43033.0
63,INTERVALE AV,19354.0
64,NASSAU ST,52214.0
65,FRANKLIN AV,84782.0
66,BERGEN ST,91609.0
67,KNICKERBOCKER,25126.0
68,MONTROSE AV,40358.0
69,79 ST,141529.0
70,CLASSON AV,29997.0
71,47-50 STS ROCK,299488.0
72,63 DR-REGO PARK,95270.0
73,ROCKAWAY PARK B,3794.0
74,GRAHAM AV,60235.0
75,9 AV,35340.0
76,NEW LOTS,25369.0
77,190 ST,28633.0
78,JKSN HT-ROOSVLT,288975.0
79,AVENUE M,37106.0
80,46 ST BLISS ST,-1476743.0
81,51 ST,110137.0
82,OCEAN PKWY,18665.0
83,182-183 STS,31624.0
84,MYRTLE-WYCKOFF,127163.0
85,FRESH POND RD,35430.0
86,137 ST CITY COL,90207.0
87,66 ST-LINCOLN,140518.0
88,69 ST,28431.0
89,PROSPECT PARK,59389.0
90,RALPH AV,34366.0
91,BRIGHTON BEACH,76147.0
92,RECTOR ST,93841.0
93,KINGSBRIDGE RD,105476.0
94,174-175 STS,31764.0
95,96 ST,446950.0
96,FAR ROCKAWAY,28056.0
97,BROAD ST,39352.0
98,GATES AV,39596.0
99,175 ST,76628.0
100,225 ST,26627.0
101,138/GRAND CONC,19817.0
102,7 AV,221303.0
103,TREMONT AV,59894.0
104,49 ST,128410.0
105,FOREST HILLS 71,160661.0
106,PAVONIA/NEWPORT,104617.0
107,CORTLANDT ST,58208.0
108,KEW GARDENS,151873.0
109,LAFAYETTE AV,27584.0
110,BEVERLY RD,22194.0
111,2 AV,89113.0
112,BEACH 67 ST,13578.0
113,59 ST,422086.0
114,JAY ST-METROTEC,244696.0
115,168 ST,144072.0
116,61 ST WOODSIDE,102487.0
117,MYRTLE AV,68600.0
118,25 AV,39765.0
119,SOUTH FERRY,73029.0
120,TIMES SQ-42 ST,443071.0
121,157 ST,66494.0
122,FRANKLIN ST,33279.0
123,AVENUE J,36781.0
124,23 ST,609233.0
125,191 ST,50667.0
126,CANARSIE-ROCKAW,64995.0
127,BOROUGH HALL,214752.0
128,CITY HALL,35000.0
129,PELHAM PKWY,74335.0
130,DITMAS AV,17658.0
131,AVENUE U,70883.0
132,NEVINS ST,57023.0
133,HOYT ST,43296.0
134,EASTCHSTER/DYRE,24134.0
135,MARBLE HILL-225,32145.0
136,59 ST COLUMBUS,375425.0
137,BRONX PARK EAST,16436.0
138,145 ST,222841.0
139,SHEPHERD AV,20050.0
140,8 AV,218685.0
141,NECK RD,25815.0
142,NEW LOTS AV,40706.0
143,77 ST,230738.0
144,TWENTY THIRD ST,-145341.0
145,CANAL ST,388423.0
146,WAKEFIELD/241,29745.0
147,207 ST,37587.0
148,PRESIDENT ST,19541.0
149,HIGH ST,36940.0
150,ST. GEORGE,73296.0
151,ATL AV-BARCLAY,237538.0
152,AQUEDUCT N.COND,6177.0
153,42 ST-PORT AUTH,439479.0
154,MIDDLETOWN RD,11523.0
155,CASTLE HILL AV,40088.0
156,WOODLAWN,40204.0
157,57 ST,80751.0
158,149/GRAND CONC,82258.0
159,CORTELYOU RD,38639.0
160,HOYT-SCHER,52841.0
161,BURKE AV,20755.0
162,14 ST,303042.0
163,121 ST,14017.0
164,CHRISTOPHER ST,75304.0
165,E 149 ST,27519.0
166,QUEENSBORO PLZ,75527.0
167,104 ST,21397.0
168,103 ST,168600.0
169,SPRING ST,121330.0
170,CRESCENT ST,29768.0
171,DYCKMAN ST,83701.0
172,65 ST,22376.0
173,BROOK AV,32023.0
174,JAMAICA VAN WK,28928.0
175,NEWKIRK AV,39323.0
176,WEST FARMS SQ,44725.0
177,NEPTUNE AV,10492.0
178,TOMPKINSVILLE,4323.0
179,NEREID AV,22196.0
180,CLINTON-WASH AV,60356.0
181,SUTPHIN BLVD,27193.0
182,GREENPOINT AV,53627.0
183,81 ST-MUSEUM,84988.0
184,110 ST,81240.0
185,BEDFORD PK BLVD,77870.0
186,ZEREGA AV,15261.0
187,75 ST-ELDERTS,23180.0
188,BUHRE AV,19980.0
189,ATLANTIC AV,7428.0
190,HARRISON,38409.0
191,BAY 50 ST,19322.0
192,KINGSTON AV,29721.0
193,THIRTY ST,1951718.0
194,HUNTERS PT AV,35849.0
195,SMITH-9 ST,28533.0
196,14TH STREET,49552.0
197,W 4 ST-WASH SQ,220372.0
198,BRIARWOOD,29290.0
199,57 ST-7 AV,77474.0
200,ASTORIA DITMARS,102061.0
201,LEXINGTON AV/63,62326.0
202,ALLERTON AV,33198.0
203,BLEECKER ST,75406.0
204,UTICA AV,-11873691.0
205,FLATBUSH AV-B.C,90982.0
206,BAY PKWY,123746.0
207,UNION ST,37224.0
208,SIMPSON ST,52014.0
209,NORWOOD 205 ST,53093.0
210,JUNCTION BLVD,131095.0
211,BAY RIDGE AV,85070.0
212,NEWARK BM BW,64013.0
213,BEACH 25 ST,11314.0
214,AVENUE X,15265.0
215,GRANT AV,42459.0
216,EUCLID AV,47478.0
217,36 ST,285328600.0
218,SHEEPSHEAD BAY,83442.0
219,155 ST,40703.0
220,125 ST,2572355635.0
221,ROCKAWAY BLVD,43633.0
222,LEXINGTON AV/53,210518.0
223,CATHEDRAL PKWY,120092.0
224,WORLD TRADE CTR,82946.0
225,14 ST-UNION SQ,570438.0
226,HEWES ST,16825.0
227,METROPOLITAN AV,69166.0
228,68ST-HUNTER CO,198331.0
229,AVENUE I,14231.0
230,18 AV,79893.0
231,SUTTER AV-RUTLD,46226.0
232,EAST BROADWAY,82863.0
233,BOWERY,17000.0
234,WOODHAVEN BLVD,154297.0
235,215 ST,11502.0
236,GUN HILL RD,533625.0
237,COURT SQ-23 ST,49520.0
238,JFK JAMAICA CT1,47830.0
239,JAMAICA CENTER,221962.0
240,ROOSEVELT ISLND,37744.0
241,W 8 ST-AQUARIUM,12191.0
242,ASTOR PL,88360.0
243,JUNIUS ST,16151.0
244,BEACH 44 ST,3847.0
245,PRINCE ST,82533.0
246,NORTHERN BLVD,43208.0
247,CENTRAL PK N110,57494.0
248,PARK PLACE,31945.0
249,116 ST,213715.0
250,WINTHROP ST,37870.0
251,LONGWOOD AV,19786.0
252,82 ST-JACKSON H,89971.0
253,BEACH 105 ST,1463.0
254,MYRTLE-WILLOUGH,37497.0
255,169 ST,52281.0
256,WHITEHALL S-FRY,-1067885.0
257,LIBERTY AV,16984.0
258,25 ST,22182.0
259,DELANCEY/ESSEX,145802.0
260,MT EDEN AV,33682.0
261,AQUEDUCT RACETR,9664.0
262,WALL ST,268640.0
263,33 ST,176166.0
264,AVENUE P,18299.0
265,BOWLING GREEN,178891.0
266,PATH WTC,200072.0
267,BROADWAY,105784.0
268,90 ST-ELMHURST,99334.0
269,34 ST-HUDSON YD,46063.0
270,80 ST,18554.0
271,36 AV,43564.0
272,BEACH 60 ST,14269.0
273,FLUSHING AV,72040.0
274,LIVONIA AV,16503.0
275,3 AV-149 ST,138664.0
276,88 ST,18701.0
277,53 ST,43979.0
278,34 ST-PENN STA,940257.0
279,21 ST,9912.0
280,231 ST,54203.0
281,INWOOD-207 ST,57663.0
282,MORISN AV/SNDVW,38441.0
283,MORRIS PARK,12473.0
284,ST LAWRENCE AV,24499.0
285,GRAND-NEWTOWN,82696.0
286,PARSONS BLVD,38443.0
287,HALSEY ST,78197.0
288,HARLEM 148 ST,24394.0
289,THIRTY THIRD ST,115227.0
290,BOTANIC GARDEN,10836.0
291,74 ST-BROADWAY,17787.0
292,21 ST-QNSBRIDGE,54833.0
293,BROADWAY JCT,65710.0
294,OZONE PK LEFFRT,46715.0
295,111 ST,92646.0
296,PATH WTC 2,2790.0
297,161/YANKEE STAD,52598.0
298,WESTCHESTER SQ,37122.0
299,CHURCH AV,216133.0
300,LACKAWANNA,43078.0
301,NEWARK HM HE,12894.0
302,20 AV,39762.0
303,SUTTER AV,22688.0
304,5 AV/59 ST,99866.0
305,174 ST,27981.0
306,86 ST,621630.0
307,219 ST,20322.0
308,50 ST,261975.0
309,METS-WILLETS PT,26412.0
310,MOSHOLU PKWY,50218.0
311,BEACH 98 ST,3080.0
312,42 ST-BRYANT PK,155678.0
313,PROSPECT AV,77139.0
314,CYPRESS HILLS,9185.0
315,3 AV 138 ST,51509.0
316,GRAND ARMY PLAZ,44574.0
317,B'WAY-LAFAYETTE,124692.0
318,NOSTRAND AV,134713.0
319,45 ST,23037.0
320,40 ST LOWERY ST,61273.0
321,39 AV,18598.0
322,KINGS HWY,152348.0
323,BEACH 90 ST,4714.0
324,RIT-MANHATTAN,22958.0
325,238 ST,25530.0
326,BROAD CHANNEL,1789.0
327,SENECA AVE,16391.0
328,BEDFORD-NOSTRAN,51034.0
329,4AV-9 ST,54267.0
330,CARROLL ST,67557.0
331,CENTRAL AV,22653.0
332,SARATOGA AV,35863.0
333,DEKALB AV,176705.0
334,183 ST,35832.0
335,RIT-ROOSEVELT,24539.0
336,VAN SICLEN AVE,18930.0
337,28 ST,286432.0
338,E 143/ST MARY'S,5710.0
339,LORIMER ST,-2130698390.0
340,BAYCHESTER AV,21934.0
341,ALABAMA AV,15144.0
342,JAMAICA 179 ST,123861.0
343,STEINWAY ST,82213.0
344,1 AV,122765.0
345,GRD CNTRL-42 ST,-42962716.0
346,CHAUNCEY ST,20891.0
347,PENNSYLVANIA AV,36308.0
348,KOSCIUSZKO ST,30205.0
349,NEW UTRECHT AV,34748.0
350,FREEMAN ST,27437.0
351,EASTN PKWY-MUSM,29288.0
352,167 ST,117996.0
353,18 ST,47493.0
354,HUNTS POINT AV,63888.0
355,GROVE STREET,103684.0
356,CITY / BUS,90079.0
357,75 AV,21151.0
358,55 ST,13230.0
359,JEFFERSON ST,44403.0
360,67 AV,55453.0
361,CYPRESS AV,21768.0
362,9TH STREET,26264.0
363,ELMHURST AV,81894.0
364,BEDFORD AV,135704.0
365,HOWARD BCH JFK,23633.0
366,AVENUE N,20878.0
367,85 ST-FOREST PK,23627.0
368,JACKSON AV,30179.0
369,SUTPHIN-ARCHER,134997.0
370,PELHAM BAY PARK,39677.0
371,BEACH 36 ST,5910.0
372,GRAND ST,173358.0
