,0,1
0,ROOSEVELT ISLND,33607.0
1,BROAD ST,39243.0
2,JEFFERSON ST,43763.0
3,ASTOR PL,91560.0
4,THIRTY ST,45127.0
5,PRESIDENT ST,23547.0
6,TIMES SQ-42 ST,446748.0
7,ROCKAWAY BLVD,43078.0
8,25 AV,36838.0
9,47-50 STS ROCK,1907069099.0
10,LAFAYETTE AV,26968.0
11,SOUTH FERRY,58288.0
12,145 ST,221660.0
13,ALABAMA AV,15378.0
14,VERNON-JACKSON,87611.0
15,FLATBUSH AV-B.C,103462.0
16,174-175 STS,31803.0
17,BAYCHESTER AV,21349.0
18,AQUEDUCT N.COND,6053.0
19,GRANT AV,39173.0
20,CROWN HTS-UTICA,158067.0
21,233 ST,32333.0
22,51 ST,116901.0
23,8 AV,224732.0
24,BEACH 67 ST,13649.0
25,238 ST,25951.0
26,FOREST AVE,25343.0
27,42 ST-BRYANT PK,194316.0
28,68ST-HUNTER CO,200088.0
29,PARSONS BLVD,38476.0
30,BOWLING GREEN,175253.0
31,85 ST-FOREST PK,23456.0
32,WHITEHALL S-FRY,92522.0
33,FLUSHING-MAIN,337005.0
34,MARCY AV,-1115281.0
35,74 ST-BROADWAY,17517.0
36,HARLEM 148 ST,24447.0
37,61 ST WOODSIDE,100366.0
38,PARK PLACE,32354.0
39,KNICKERBOCKER,24610.0
40,PATH WTC 2,3376.0
41,FAR ROCKAWAY,28134.0
42,34 ST-HUDSON YD,41752.0
43,96 ST,446613.0
44,111 ST,96587.0
45,BEDFORD AV,140938.0
46,GATES AV,39637.0
47,14TH STREET,49684.0
48,KEW GARDENS,149583.0
49,66 ST-LINCOLN,137614.0
50,104 ST,19540.0
51,LORIMER ST,66612.0
52,LACKAWANNA,39852.0
53,THIRTY THIRD ST,121638.0
54,28 ST,283527.0
55,LONGWOOD AV,20008.0
56,86 ST,615151.0
57,HUNTERS PT AV,36779.0
58,BRIGHTON BEACH,74937.0
59,18 ST,47310.0
60,METS-WILLETS PT,41934.0
61,ASTORIA BLVD,70687.0
62,183 ST,36759.0
63,PARKSIDE AV,31888.0
64,FOREST HILLS 71,115261228.0
65,PROSPECT PARK,63576.0
66,UNION ST,36689.0
67,STEINWAY ST,82343.0
68,BEACH 105 ST,1572.0
69,MORRIS PARK,12305.0
70,7 AV,222714.0
71,CRESCENT ST,29609.0
72,34 ST-PENN STA,-2126425850.0
73,50 ST,255685.0
74,CANARSIE-ROCKAW,62385.0
75,WOODHAVEN BLVD,158256.0
76,SPRING ST,124246.0
77,42 ST-PORT AUTH,439882.0
78,33 ST-RAWSON ST,67856.0
79,155 ST,40266.0
80,NEWKIRK AV,45478.0
81,BEACH 60 ST,14287.0
82,59 ST,422787.0
83,NASSAU ST,51530.0
84,DEKALB AV,174613.0
85,9 AV,30602.0
86,SHEEPSHEAD BAY,81841.0
87,14 ST-UNION SQ,556759.0
88,KINGSBRIDGE RD,105213.0
89,BURNSIDE AV,65224.0
90,AVENUE I,13658.0
91,72 ST,287861.0
92,CHAMBERS ST,383512.0
93,MYRTLE-WILLOUGH,36636.0
94,BERGEN ST,92284.0
95,CYPRESS HILLS,8784.0
96,WORLD TRADE CTR,82103.0
97,FRANKLIN ST,32686.0
98,NORTHERN BLVD,44814.0
99,39 AV,19124.0
100,BEACH 90 ST,4766.0
101,OZONE PK LEFFRT,44926.0
102,3 AV 138 ST,47514.0
103,NEWKIRK PLAZA,65779.0
104,E 143/ST MARY'S,6174.0
105,AVENUE U,70246.0
106,110 ST,84264.0
107,137 ST CITY COL,89019.0
108,ROCKAWAY PARK B,3830.0
109,TWENTY THIRD ST,47776.0
110,163 ST-AMSTERDM,26802.0
111,9TH STREET,26063.0
112,88 ST,17231.0
113,15 ST-PROSPECT,37907.0
114,EAST 105 ST,19826.0
115,HUNTS POINT AV,60557.0
116,DITMAS AV,20089.0
117,135 ST,102115.0
118,W 4 ST-WASH SQ,218821.0
119,HOUSTON ST,80486.0
120,SUTTER AV-RUTLD,55265.0
121,191 ST,49155.0
122,JUNCTION BLVD,132344.0
123,46 ST BLISS ST,80842.0
124,SIMPSON ST,55970.0
125,QUEENS PLAZA,62658.0
126,WALL ST,269333.0
127,168 ST,139549.0
128,CANAL ST,388666.0
129,EAST BROADWAY,86800.0
130,ELDER AV,39563.0
131,169 ST,52559.0
132,JAMAICA CENTER,217427.0
133,GRAND-NEWTOWN,85582.0
134,LEXINGTON AV/63,57794.0
135,BEACH 98 ST,2921.0
136,NEWARK HW BMEBE,13974.0
137,MIDDLETOWN RD,10230.0
138,BAY PKWY,123027.0
139,116 ST,219891.0
140,NORWOOD AV,21293.0
141,25 ST,21908.0
142,MT EDEN AV,32802.0
143,20 AV,37150.0
144,NOSTRAND AV,131498.0
145,MORISN AV/SNDVW,38026.0
146,GRAND ST,170889.0
147,BEACH 25 ST,11392.0
148,HOYT ST,42084.0
149,170 ST,97655.0
150,NEW LOTS AV,39091.0
151,PELHAM PKWY,74359.0
152,FREEMAN ST,28600.0
153,B'WAY-LAFAYETTE,125029.0
154,181 ST,136440.0
155,BROADWAY JCT,67468.0
156,CHURCH AV,222256.0
157,VAN SICLEN AVE,18721.0
158,CATHEDRAL PKWY,120208.0
159,CLEVELAND ST,20745.0
160,HALSEY ST,87963.0
161,CORTLANDT ST,58039.0
162,WEST FARMS SQ,44247.0
163,OCEAN PKWY,18482.0
164,WINTHROP ST,41713.0
165,57 ST,73973.0
166,BEACH 44 ST,3803.0
167,75 ST-ELDERTS,22343.0
168,EXCHANGE PLACE,88033.0
169,SMITH-9 ST,28537.0
170,UTICA AV,94302.0
171,WHITLOCK AV,10222.0
172,ORCHARD BEACH,2.0
173,ZEREGA AV,13006.0
174,23 ST,602198.0
175,103 ST,175278.0
176,FRESH POND RD,35264.0
177,BOROUGH HALL,203218.0
178,PATH WTC,197458.0
179,79 ST,137294.0
180,QUEENSBORO PLZ,70904.0
181,SUTPHIN-ARCHER,135503.0
182,GRAND ARMY PLAZ,46527.0
183,BAY 50 ST,17991.0
184,BUSHWICK AV,12153.0
185,METROPOLITAN AV,68032.0
186,CENTRAL PK N110,57731.0
187,W 8 ST-AQUARIUM,12403.0
188,GREENPOINT AV,55472.0
189,BROOKLYN BRIDGE,98895.0
190,JKSN HT-ROOSVLT,285511.0
191,BROOK AV,37102.0
192,CHRISTOPHER ST,74351.0
193,AVENUE X,15275.0
