,0,1
0,V.CORTLANDT PK,34410.0
1,231 ST,104.0
2,215 ST,9158.0
3,SUTTER AV-RUTLD,56350.0
4,145 ST,210720.0
5,LAFAYETTE AV,28777.0
6,CANAL ST,317859692.0
7,ALABAMA AV,15243.0
8,BRIGHTON BEACH,80296.0
9,CROWN HTS-UTICA,158545.0
10,111 ST,99353.0
11,HOYT ST,43486.0
12,FULTON ST,456718.0
13,63 DR-REGO PARK,97408.0
14,7 AV,209810.0
15,161/YANKEE STAD,143693.0
16,FLUSHING AV,70141.0
17,STERLING ST,32901.0
18,23 ST,563901.0
19,RIT-MANHATTAN,27124.0
20,40 ST LOWERY ST,65106.0
21,ST. GEORGE,83593096.0
22,BOWERY,18486.0
23,9 AV,35328.0
24,125 ST,392078.0
25,DEKALB AV,175616.0
26,RALPH AV,34340.0
27,BEACH 67 ST,15151.0
28,CORTLANDT ST,65463.0
29,74 ST-BROADWAY,19070.0
30,174 ST,28432.0
31,PRESIDENT ST,23029.0
32,MIDDLETOWN RD,11569.0
33,HOYT-SCHER,55309.0
34,TOMPKINSVILLE,4456.0
35,57 ST-7 AV,78623.0
36,HIGH ST,40133.0
37,JAMAICA CENTER,218381.0
38,PROSPECT AV,80425.0
39,155 ST,42031.0
40,WOODLAWN,44513.0
41,SPRING ST,124713.0
42,15 ST-PROSPECT,37965.0
43,AQUEDUCT RACETR,9300.0
44,BRIARWOOD,29327.0
45,ROCKAWAY PARK B,4434.0
46,JACKSON AV,34182.0
47,137 ST CITY COL,100704.0
48,MT EDEN AV,33739.0
49,167 ST,119230.0
50,MORRIS PARK,12466.0
51,NEW LOTS AV,39492.0
52,ATL AV-BARCLAY,235987.0
53,FORDHAM RD,136043.0
54,BEVERLY RD,26239.0
55,81 ST-MUSEUM,84271.0
56,49 ST,132312.0
57,ELDER AV,39477.0
58,ASTORIA BLVD,72306.0
59,ZEREGA AV,15268.0
60,BLEECKER ST,76800.0
61,51 ST,102739.0
62,207 ST,29403.0
63,116 ST-COLUMBIA,69328.0
64,VAN SICLEN AVE,19667.0
65,SIMPSON ST,58180.0
66,MARBLE HILL-225,27197.0
67,RECTOR ST,81921.0
68,CLEVELAND ST,21245.0
69,BUSHWICK AV,15797.0
70,W 8 ST-AQUARIUM,15492.0
71,170 ST,99780.0
72,ROCKAWAY AV,75848.0
73,WOODHAVEN BLVD,160301.0
74,116 ST,217096.0
75,FLATBUSH AV-B.C,102811.0
76,46 ST,55168.0
77,LEXINGTON AV/63,64879.0
78,WINTHROP ST,40826.0
79,SUTTER AV,28239.0
80,30 AV,85181.0
81,EAST 105 ST,23078.0
82,GRAND-NEWTOWN,84730.0
83,182-183 STS,30858.0
84,CLINTON-WASH AV,53698.0
85,18 ST,43739.0
86,4 AV-9 ST,20291.0
87,BEACH 36 ST,5758.0
88,BEDFORD-NOSTRAN,50261.0
89,CLARK ST,36089.0
90,CRESCENT ST,30034.0
91,BOTANIC GARDEN,10570.0
92,NEWKIRK AV,45887.0
93,AVENUE X,15853.0
94,PATH WTC 2,3357.0
95,NEW UTRECHT AV,39342.0
96,21 ST,8930.0
97,NECK RD,25020.0
98,QUEENSBORO PLZ,71533.0
99,72 ST,291544.0
100,8 ST-NYU,75551.0
101,PARKCHESTER,98438.0
102,CENTRAL AV,21419.0
103,W 4 ST-WASH SQ,213715.0
104,EASTCHSTER/DYRE,24396.0
105,MYRTLE-WILLOUGH,35699.0
106,183 ST,37003.0
107,104 ST,20022.0
108,21 ST-QNSBRIDGE,56919.0
109,45 ST,21878.0
110,FOREST AVE,24457.0
111,CHRISTOPHER ST,75097.0
112,KEW GARDENS,150449.0
113,149/GRAND CONC,78452.0
114,BRONX PARK EAST,17282.0
115,LONGWOOD AV,20782.0
116,SENECA AVE,15562.0
117,1 AV,125012.0
118,WHITLOCK AV,10559.0
119,9TH STREET,24939.0
120,SUTPHIN BLVD,27074.0
121,JUNIUS ST,17017.0
122,59 ST,436048.0
123,69 ST,30741.0
124,CATHEDRAL PKWY,125360.0
125,55 ST,12944.0
126,NORWOOD 205 ST,52099.0
127,PARK PLACE,31431.0
128,E 180 ST,49378.0
129,QUEENS PLAZA,60172.0
130,BAY RIDGE AV,85765.0
131,25 ST,20546.0
132,CYPRESS AV,24237.0
133,33 ST,171179.0
134,EASTN PKWY-MUSM,28988.0
135,SHEPHERD AV,20469.0
136,KINGSBRIDGE RD,107187.0
137,GROVE STREET,105521.0
138,110 ST,79924.0
