,0,1
0,"('AVENUE H', 'BQ')",19424.0
1,"('PARK PLACE', '23ACE')",20950.0
2,"('HOWARD BCH JFK', 'A')",28004.0
3,"('PARSONS BLVD', 'F')",40113.0
4,"('39 AV', 'NQ')",18854.0
5,"('BRIARWOOD', 'EF')",29530.0
6,"('BEDFORD-NOSTRAN', 'G')",50832.0
7,"('LONGWOOD AV', '6')",20410.0
8,"('FLATBUSH AV-B.C', '25')",101960.0
9,"('18 AV', 'N')",13952.0
10,"('KINGS HWY', 'N')",8662.0
11,"('LACKAWANNA', '1')",34510.0
12,"('NEWARK HM HE', '1')",14072.0
13,"('3 AV-149 ST', '25')",133155.0
14,"('BEDFORD AV', 'L')",140936.0
15,"('PATH WTC 2', '1')",3632.0
16,"('190 ST', 'A')",30906.0
17,"('42 ST-PORT AUTH', 'ACENGRS1237')",74136.0
18,"('TOMPKINSVILLE', '1')",4677.0
19,"('RIT-ROOSEVELT', 'R')",27719.0
20,"('33 ST-RAWSON ST', '7')",70022.0
21,"('34 ST-PENN STA', '123ACE')",306798.0
22,"('GRAHAM AV', 'L')",60323.0
23,"('59 ST', 'NQR456')",87531.0
24,"('BOROUGH HALL', '2345R')",197272.0
25,"('BRONX PARK EAST', '25')",17190.0
26,"('BROOKLYN BRIDGE', '456JZ')",97527.0
27,"('CYPRESS HILLS', 'J')",9180.0
28,"('HEWES ST', 'JM')",16557.0
29,"('135 ST', 'BC')",35051.0
30,"('AVENUE I', 'F')",11739.0
31,"('HOUSTON ST', '1')",79892.0
32,"('FLUSHING AV', 'JM')",53746.0
33,"('CASTLE HILL AV', '6')",33478.0
34,"('BAY RIDGE AV', 'R')",86452.0
35,"('111 ST', '7')",69221.0
36,"('EAST BROADWAY', 'F')",82408.0
37,"('47-50 STS ROCK', 'BDFM')",296013.0
38,"('WOODLAWN', '4')",44891.0
39,"('WOODHAVEN BLVD', 'MR')",130451.0
40,"('5 AV/53 ST', 'EM')",139710.0
41,"('RALPH AV', 'C')",34414.0
42,"('DYCKMAN ST', 'A')",46724.0
43,"('163 ST-AMSTERDM', 'C')",27962.0
44,"('174-175 STS', 'BD')",32593.0
45,"('NORWOOD 205 ST', 'D')",53072.0
46,"('FT HAMILTON PKY', 'N')",10191.0
47,"('155 ST', 'BD')",24335.0
48,"('PROSPECT AV', 'R')",31105.0
49,"('14 ST', '123FLM')",96521.0
50,"('HALSEY ST', 'J')",40467.0
51,"('ASTORIA DITMARS', 'NQ')",101800.0
52,"('74 ST-BROADWAY', '7EFMR')",17861.0
53,"('CORTELYOU RD', 'BQ')",39202.0
54,"('14 ST', 'ACEL')",108882.0
55,"('FT HAMILTON PKY', 'D')",26273.0
56,"('JFK JAMAICA CT1', 'E')",42726.0
57,"('BEACH 98 ST', 'AS')",3252.0
58,"('FRANKLIN AV', '2345S')",35402.0
59,"('MOSHOLU PKWY', '4')",54453.0
60,"('BERGEN ST', 'FG')",59485.0
61,"('MORGAN AV', 'L')",43651.0
