,0,1
0,THIRTY THIRD ST,127244.0
1,59 ST,441550.0
2,LIBERTY AV,18481.0
3,190 ST,31135.0
4,57 ST-7 AV,80001.0
5,BOTANIC GARDEN,10968.0
6,STERLING ST,33826.0
7,46 ST BLISS ST,82372.0
8,ELDER AV,39755.0
9,WORLD TRADE CTR,1138343.0
10,SUTPHIN-ARCHER,140902.0
11,COURT SQ,5095.0
12,MIDDLETOWN RD,10426.0
13,PATH WTC 2,3476.0
14,HARRISON,44897.0
15,47-50 STS ROCK,134524922.0
16,METROPOLITAN AV,67768.0
17,SHEEPSHEAD BAY,85245.0
18,14TH STREET,51077.0
19,FREEMAN ST,30443.0
20,ASTOR PL,91013.0
21,PELHAM BAY PARK,35764.0
22,HOYT ST,42987.0
23,LAFAYETTE AV,29561.0
24,KINGS HWY,150764.0
25,BEDFORD AV,148768.0
26,20 AV,37870.0
27,HEWES ST,16983.0
28,AVENUE I,11850.0
29,65 ST,22224.0
30,ORCHARD BEACH,10.0
31,FRANKLIN ST,33562.0
32,VAN SICLEN AV,41923.0
33,3 AV-149 ST,143051.0
34,71 ST,35506.0
35,103 ST,182403.0
36,JAMAICA 179 ST,128518.0
37,21 ST-QNSBRIDGE,58719.0
38,E 149 ST,28601.0
39,BEACH 98 ST,3112.0
40,JAY ST-METROTEC,248675.0
41,EAST BROADWAY,85316.0
42,NEREID AV,22780.0
43,116 ST-COLUMBIA,91801.0
44,82 ST-JACKSON H,93397.0
45,FRANKLIN AV,74320.0
46,MOSHOLU PKWY,54657.0
47,HIGH ST,45671.0
48,137 ST CITY COL,89613.0
49,74 ST-BROADWAY,19029.0
50,JFK JAMAICA CT1,49962.0
51,YORK ST,67752.0
52,42 ST-BRYANT PK,205923.0
53,TIMES SQ-42 ST,457339.0
54,9 AV,31159.0
55,33 ST,177947.0
56,AVENUE J,37509.0
57,BROADWAY,108939.0
58,METS-WILLETS PT,28084.0
59,GRAND ST,180527.0
60,238 ST,26601.0
61,BROOK AV,37307.0
62,SUTPHIN BLVD,26132.0
63,25 AV,37457.0
64,MYRTLE AV,70972.0
65,JUNIUS ST,17014.0
66,ELMHURST AV,74002.0
67,ATL AV-BARCLAY,235626.0
68,BAY 50 ST,18326.0
69,CENTRAL AV,22557.0
70,BAY RIDGE AV,87741.0
71,AVENUE X,13185.0
72,BEDFORD PK BLVD,80815.0
73,CRESCENT ST,30423.0
74,68ST-HUNTER CO,194525.0
75,121 ST,14568.0
76,JAMAICA CENTER,38246.0
77,77 ST,244423.0
78,36 AV,44469.0
79,8 AV,238373.0
80,LEXINGTON AV/63,67406.0
81,FAR ROCKAWAY,28746.0
82,176 ST,36961.0
83,63 DR-REGO PARK,95266.0
84,BOWERY,18167.0
85,BEVERLEY ROAD,18683.0
86,AVENUE H,117459939.0
