,0,1
0,1 AV,102087.0
1,DEKALB AV,152749.0
2,KINGSTON AV,26644.0
3,BUHRE AV,17493.0
4,21 ST-QNSBRIDGE,44151.0
5,BROADWAY JCT,50055.0
6,181 ST,124768.0
7,PARKSIDE AV,21305.0
8,PELHAM PKWY,67189.0
9,46 ST,50097.0
10,FULTON ST,413391.0
11,BOTANIC GARDEN,8651.0
12,149/GRAND CONC,62702.0
13,JOURNAL SQUARE,102108.0
14,145 ST,198290.0
15,PARK PLACE,26585.0
16,BROAD ST,33543.0
17,BERGEN ST,79621.0
18,121 ST,12942.0
19,SHEEPSHEAD BAY,70719.0
20,ROCKAWAY BLVD,39186.0
21,NEVINS ST,48315.0
22,JAY ST-METROTEC,2076302210.0
23,50 ST,145580.0
24,191 ST,43681.0
25,HOYT ST,37157.0
26,INTERVALE AV,18237.0
27,TWENTY THIRD ST,40036.0
28,FLUSHING AV,61254.0
29,CYPRESS AV,22213.0
30,86 ST,544566.0
31,BROAD CHANNEL,1665.0
32,CHAMBERS ST,305454.0
33,AVENUE X,14167.0
34,YORK ST,48466.0
35,25 AV,36462.0
36,EUCLID AV,42439.0
37,174 ST,25255.0
38,51 ST,96439.0
39,231 ST,50592.0
40,RIT-MANHATTAN,27158.0
41,NORWOOD 205 ST,48007.0
42,219 ST,18569.0
43,104 ST,17742.0
44,SPRING ST,110760.0
45,WILSON AV,12261.0
46,BROOKLYN BRIDGE,79116.0
47,NASSAU ST,44836.0
48,47-50 STS ROCK,239706.0
49,155 ST,37727.0
50,CARROLL ST,56586.0
51,JAMAICA CENTER,190669.0
52,BUSHWICK AV,12653.0
53,AQUEDUCT RACETR,9704.0
54,VAN SICLEN AV,48668.0
55,80 ST,22456.0
56,NEPTUNE AV,9559.0
57,UNION ST,31058.0
58,NEW LOTS,28443.0
59,MORRIS PARK,9884.0
60,JACKSON AV,31068.0
61,ASTOR PL,72629.0
62,OCEAN PKWY,17298.0
63,STEINWAY ST,75099.0
64,BROADWAY,93842.0
65,GATES AV,35983.0
66,W 4 ST-WASH SQ,188330.0
67,PARSONS BLVD,34123.0
68,CORTLANDT ST,60162.0
69,HARLEM 148 ST,22035.0
70,85 ST-FOREST PK,-162211.0
71,BLEECKER ST,67214.0
72,110 ST,68013.0
73,103 ST,171497.0
74,STERLING ST,31021.0
75,CATHEDRAL PKWY,111389.0
76,KEW GARDENS,131438.0
77,GRANT AV,35607.0
78,ZEREGA AV,13474.0
79,103 ST-CORONA,111769.0
80,CYPRESS HILLS,8144.0
81,49 ST,116820.0
82,LACKAWANNA,35949.0
83,ATLANTIC AV,8443.0
84,36 ST,94070.0
85,BAY PKWY,118774.0
86,82 ST-JACKSON H,86143.0
87,HOUSTON ST,66288.0
88,170 ST,-466715.0
89,MARCY AV,72115.0
90,JFK JAMAICA CT1,-83517.0
91,CORTELYOU RD,24957.0
92,KOSCIUSZKO ST,28108.0
93,161/YANKEE STAD,115103.0
94,KINGSTON-THROOP,33944.0
95,E 180 ST,46537.0
96,ORCHARD BEACH,12.0
97,PRESIDENT ST,19658.0
98,BEACH 67 ST,15393.0
99,15 ST-PROSPECT,34871.0
100,59 ST,377326.0
101,GRAND ARMY PLAZ,43126.0
102,EAST BROADWAY,71826.0
103,96 ST,-5864706.0
104,FAR ROCKAWAY,26487.0
105,WOODHAVEN BLVD,150727.0
106,BURKE AV,19045.0
107,WORLD TRADE CTR,74734.0
108,ST. GEORGE,62969.0
109,ALABAMA AV,13966.0
110,3 AV,29272.0
111,FLUSHING-MAIN,317279.0
112,NEWARK HM HE,7130.0
113,AVENUE J,23698.0
114,57 ST,62936.0
115,59 ST COLUMBUS,320975.0
116,8 ST-NYU,76161.0
117,CRESCENT ST,27542.0
118,FOREST HILLS 71,142509.0
119,LIVONIA AV,12175.0
120,14 ST,254879.0
121,BEVERLY RD,23919.0
122,NEWKIRK PLAZA,43846.0
123,5 AVE,52638.0
124,BEDFORD-NOSTRAN,45045.0
125,53 ST,39808.0
126,215 ST,9334.0
127,B'WAY-LAFAYETTE,111418.0
128,14 ST-UNION SQ,497618.0
129,CHRISTOPHER ST,67335.0
130,MARBLE HILL-225,30201.0
131,LIBERTY AV,16006.0
132,DITMAS AV,19919.0
133,HOWARD BCH JFK,28976.0
134,21 ST,8218.0
