,0,1
0,"('NEW UTRECHT AV', 'ND')",39342.0
1,"('VAN SICLEN AV', '3')",35357.0
2,"('86 ST', '1')",113878.0
3,"('138/GRAND CONC', '45')",19955.0
4,"('NEWARK BM BW', '1')",61060.0
5,"('LAFAYETTE AV', 'C')",28777.0
6,"('CATHEDRAL PKWY', '1')",78073.0
7,"('103 ST', 'BC')",28736.0
8,"('50 ST', 'D')",18809.0
9,"('116 ST', '23')",73231.0
10,"('KOSCIUSZKO ST', 'J')",30838.0
11,"('SUTTER AV', 'L')",28239.0
12,"('167 ST', 'BD')",60736.0
13,"('NEW LOTS', 'L')",31440.0
14,"('SUTPHIN BLVD', 'F')",27074.0
15,"('3 AV', 'L')",33073.0
16,"('181 ST', '1')",54144.0
17,"('59 ST', 'NR')",78133.0
18,"('157 ST', '1')",52592.0
19,"('ATLANTIC AV', 'L')",9084.0
20,"('AVENUE U', 'N')",6816.0
21,"('FORDHAM RD', 'BD')",67313.0
22,"('90 ST-ELMHURST', '7')",102765.0
23,"('7 AV', 'BDE')",79483.0
24,"('BROADWAY', 'G')",25503.0
25,"('42 ST-BRYANT PK', 'BDFM7')",204087.0
26,"('GROVE STREET', '1')",105521.0
27,"('BURNSIDE AV', '4')",66992.0
28,"('23 ST', 'NR')",131791.0
29,"('NORWOOD 205 ST', 'D')",52099.0
30,"('CLARK ST', '23')",36089.0
31,"('AVENUE U', 'BQ')",44661.0
32,"('BEACH 98 ST', 'AS')",3497.0
33,"('59 ST COLUMBUS', '1ABCD')",79675.0
34,"('176 ST', '4')",37669.0
35,"('42 ST-PORT AUTH', 'ACENGRS1237')",74652.0
36,"('135 ST', '23')",87493.0
37,"('CENTRAL PK N110', '23')",58333.0
38,"('116 ST', 'BC')",42575.0
39,"('OCEAN PKWY', 'Q')",20315.0
40,"('HARLEM 148 ST', '3')",24149.0
41,"('WESTCHESTER SQ', '6')",36309.0
42,"('AVENUE J', 'BQ')",37259.0
43,"('BEACH 67 ST', 'A')",15151.0
44,"('75 ST-ELDERTS', 'JZ')",22965.0
45,"('W 4 ST-WASH SQ', 'ABCDEFM')",213715.0
46,"('CHAUNCEY ST', 'JZ')",18119.0
47,"('ROCKAWAY AV', '3')",41176.0
48,"('BAY PKWY', 'N')",55631.0
49,"('CATHEDRAL PKWY', 'BC')",47287.0
50,"('CLINTON-WASH AV', 'C')",25743.0
51,"('4 AV-9 ST', 'DFGMNR')",20291.0
52,"('NECK RD', 'BQ')",25020.0
53,"('36 ST', 'MR')",-301983336.0
54,"('DYCKMAN ST', '1')",33976.0
55,"('86 ST', 'R')",69420.0
56,"('LEXINGTON AV/63', 'F')",64879.0
57,"('WEST FARMS SQ', '25')",46982.0
58,"('RIT-ROOSEVELT', 'R')",28660.0
59,"('MYRTLE-WYCKOFF', 'LM')",120516.0
60,"('NEW LOTS AV', '3')",39492.0
61,"('AVENUE N', 'F')",20654.0
62,"('125 ST', '23')",43584.0
63,"('WOODHAVEN BLVD', 'JZ')",28062.0
64,"('25 ST', 'R')",20546.0
65,"('PATH WTC', '1')",196647.0
66,"('55 ST', 'D')",12944.0
67,"('77 ST', 'R')",33361.0
68,"('SOUTH FERRY', '1R')",64224.0
69,"('NEWARK C', '1')",23715.0
70,"('GRANT AV', 'A')",39608.0
71,"('36 AV', 'NQ')",43810.0
72,"('TOMPKINSVILLE', '1')",4456.0
73,"('SPRING ST', 'CE')",62426.0
74,"('BERGEN ST', 'FG')",58354.0
75,"('PATH WTC 2', '1')",3357.0
76,"('GUN HILL RD', '25')",46159.0
77,"('191 ST', '1')",40232.0
78,"('ROCKAWAY BLVD', 'A')",43720.0
79,"('CYPRESS AV', '6')",24237.0
80,"('67 AV', 'MR')",54741.0
81,"('CORTLANDT ST', 'R')",65463.0
82,"('80 ST', 'A')",23996.0
83,"('42 ST-PORT AUTH', 'ACENQRS1237')",360761.0
84,"('BLEECKER ST', '6DF')",76800.0
85,"('4AV-9 ST', 'DFGMNR')",53171.0
86,"('BROADWAY', 'NQ')",78068.0
87,"('GRAND ST', 'BD')",108948.0
88,"('JAY ST-METROTEC', 'R')",17958.0
89,"('HARRISON', '1')",42103.0
90,"('45 ST', 'R')",21878.0
91,"('BAY 50 ST', 'D')",19201.0
92,"('ELMHURST AV', 'MR')",81922.0
93,"('GREENPOINT AV', 'G')",50630.0
94,"('63 DR-REGO PARK', 'MR')",97408.0
95,"('23 ST', 'FM')",122921.0
96,"('NOSTRAND AV', 'AC')",107021.0
97,"('125 ST', '1')",43898.0
98,"('MYRTLE AV', 'JMZ')",69574.0
99,"('LACKAWANNA', '1')",40498.0
100,"('FLUSHING AV', 'G')",16588.0
101,"('68ST-HUNTER CO', '6')",184699.0
102,"('103 ST', '6')",76024.0
103,"('MT EDEN AV', '4')",33739.0
104,"('PARKCHESTER', '6')",98438.0
105,"('1 AV', 'L')",125012.0
106,"('161/YANKEE STAD', 'BD4')",77656.0
107,"('BEDFORD PK BLVD', '4')",34851.0
108,"('NEPTUNE AV', 'F')",10142.0
109,"('BOWLING GREEN', '45')",177236.0
110,"('86 ST', 'BC')",66034.0
111,"('HUNTS POINT AV', '6')",60939.0
112,"('ALLERTON AV', '25')",33365.0
113,"('23 ST', 'CE')",104872.0
114,"('ASTORIA BLVD', 'NQ')",72306.0
115,"('BROOK AV', '6')",36875.0
116,"('14 ST', '123FLM')",97043.0
117,"('BOWERY', 'JZ')",18486.0
118,"('ELDER AV', '6')",39477.0
119,"('BEVERLEY ROAD', 'BQ')",18874.0
120,"('LEXINGTON AV/53', 'EM6')",195264.0
121,"('ASTORIA DITMARS', 'NQ')",101979.0
122,"('FLUSHING-MAIN', '7')",351357.0
123,"('34 ST-HERALD SQ', 'BDFMNQR')",631023.0
124,"('66 ST-LINCOLN', '1')",132637.0
125,"('14TH STREET', '1')",39723.0
126,"('53 ST', 'R')",41449.0
127,"('JACKSON AV', '25')",34182.0
128,"('18 AV', 'D')",37260.0
129,"('ST. GEORGE', '1')",83593096.0
130,"('WALL ST', '23')",142770.0
131,"('MONTROSE AV', 'L')",41255.0
132,"('BROAD ST', 'JZ')",39215.0
133,"('BEDFORD PK BLVD', 'BD')",43442.0
134,"('174-175 STS', 'BD')",32552.0
135,"('UTICA AV', 'AC')",96360.0
136,"('14 ST-UNION SQ', 'LNQR456')",391282.0
137,"('AVENUE X', 'F')",15853.0
138,"('7 AV', 'BQ')",58810.0
139,"('METROPOLITAN AV', 'GL')",50700.0
140,"('KINGSTON-THROOP', 'C')",37187.0
141,"('WALL ST', '45')",124030.0
142,"('LONGWOOD AV', '6')",20782.0
143,"('HOYT-SCHER', 'ACG')",55309.0
144,"('KINGSBRIDGE RD', 'BD')",47795.0
145,"('182-183 STS', 'BD')",30858.0
146,"('WHITLOCK AV', '6')",10559.0
147,"('88 ST', 'A')",17505.0
148,"('CLINTON-WASH AV', 'G')",27955.0
149,"('CHURCH AV', 'BQ')",103330.0
150,"('ST LAWRENCE AV', '6')",25268.0
151,"('EAST BROADWAY', 'F')",86448.0
152,"('W 8 ST-AQUARIUM', 'FQ')",15492.0
153,"('JUNIUS ST', '3')",17017.0
154,"('BEDFORD-NOSTRAN', 'G')",50261.0
155,"('PELHAM PKWY', '25')",58447.0
156,"('CONEY IS-STILLW', 'DFNQ')",124332.0
157,"('59 ST', '456NQR')",267711.0
158,"('AVENUE M', 'BQ')",37627.0
159,"('VAN SICLEN AVE', 'C')",19667.0
160,"('WOODLAWN', '4')",44513.0
161,"('59 ST COLUMBUS', 'ABCD1')",300690.0
162,"('FT HAMILTON PKY', 'FG')",36194.0
163,"('86 ST', '456')",-492914.0
164,"('BOROUGH HALL', 'R2345')",12555.0
165,"('NEWARK HW BMEBE', '1')",21709.0
166,"('79 ST', '1')",96065.0
167,"('65 ST', 'MR')",23198.0
168,"('FORDHAM RD', '4')",68730.0
169,"('231 ST', '1')",104.0
170,"('14 ST-UNION SQ', '456LNQR')",178289.0
171,"('170 ST', 'BD')",43758.0
172,"('GRAHAM AV', 'L')",59998.0
173,"('HALSEY ST', 'L')",59074.0
